,region,price,year,manufacturer,model,condition,odometer,transmission,drive,type,paint_color
0,bowling green,19000,2019,ford,fusion hybrid,excellent,26242,automatic,fwd,sedan,red
1,tulsa,11590,2017,ford,fiesta se hatchback 4d,good,19179,other,fwd,hatchback,red
2,tyler / east TX,51990,2017,chevrolet,camaro zl1 coupe 2d,good,21608,other,rwd,coupe,red
3,minneapolis / st paul,1500,2007,ford,five hundred limited,fair,247188,automatic,4wd,sedan,grey
4,pittsburgh,16200,2011,mercedes-benz,benz slk300,good,43900,automatic,rwd,convertible,silver
5,nashville,7995,2009,bmw,x3 3.0si,excellent,141000,automatic,4wd,SUV,white
6,fort collins / north CO,5600,2004,honda,pilot ex-l w/res,excellent,209905,automatic,4wd,SUV,green
7,heartland florida,30700,2015,chevrolet,tahoe ltz suv 4x4,excellent,115764,automatic,4wd,SUV,grey
8,"st louis, MO",4250,2008,ford,escape xlt,excellent,187636,automatic,fwd,SUV,blue
9,eastern CT,29985,2017,ram,1500,good,107260,automatic,4wd,truck,black
10,chattanooga,7000,2012,chevrolet,impala ltz,good,107026,automatic,fwd,sedan,white
11,st cloud,5000,2011,chevrolet,malibu lt,good,144000,other,fwd,sedan,grey
12,roanoke,10499,2011,ford,mustang coupe 2dr,excellent,83834,manual,rwd,coupe,red
13,charlotte,4995,2012,dodge,grand caravan se,excellent,165000,automatic,fwd,van,silver
14,vermont,7999,2009,bmw,128,excellent,107000,automatic,rwd,coupe,blue
15,long island,900,2000,nissan,maxima se,fair,160553,automatic,fwd,sedan,black
16,green bay,1500,2002,ford,escort,fair,132000,automatic,fwd,coupe,red
17,knoxville,4450,2002,toyota,sequoia,excellent,267000,automatic,4wd,SUV,green
18,cincinnati,3400,2007,chrysler,pt cruiser,good,75000,automatic,fwd,wagon,white
19,asheville,10889,2013,ford,mustang,good,131695,automatic,rwd,coupe,white
20,colorado springs,14999,2016,nissan,rogue,excellent,52473,automatic,4wd,SUV,red
21,atlanta,1799,2000,nissan,altima,like new,156000,automatic,fwd,sedan,black
22,albany,34990,2016,ford,super duty f-650 straight frame,good,106561,automatic,rwd,truck,white
23,memphis,38990,2020,kia,telluride s sport utility 4d,good,10986,other,fwd,other,black
24,south jersey,6995,2005,lexus,es 330,excellent,103000,automatic,fwd,sedan,white
25,san antonio,29000,2015,gmc,yukon xl,good,118500,automatic,4wd,SUV,grey
26,topeka,4995,2007,mazda,cx-7,good,131630,automatic,fwd,SUV,silver
27,cleveland,0,2018,ford,f550,like new,96216,automatic,4wd,pickup,white
28,omaha / council bluffs,39990,2016,mitsubishi,fuso fe180,good,33474,automatic,rwd,truck,white
29,frederick,30990,2014,chevrolet,silverado 2500 hd crew,good,49863,automatic,4wd,pickup,red
30,rochester,10990,2011,mini,hardtop cooper s hatchback,good,97303,other,fwd,hatchback,red
31,modesto,5500,2012,volkswagen,passat,excellent,144959,automatic,fwd,sedan,silver
32,new york city,6000,2009,audi,q5 3.2 quattro premium,like new,150223,automatic,4wd,SUV,white
33,bend,3945,2003,acura,mdx,excellent,253188,automatic,4wd,SUV,white
34,des moines,3900,2009,chevrolet,cobalt ls coupe,good,102361,manual,fwd,coupe,silver
35,madison,7000,2014,volkswagen,jetta,excellent,96000,automatic,fwd,wagon,blue
36,orange county,37950,2017,ford,f250 super duty xl,excellent,148136,automatic,4wd,truck,white
37,waterloo / cedar falls,3995,2007,buick,lacrosse,good,174034,automatic,fwd,sedan,blue
38,reno / tahoe,26995,2014,ram,2500,excellent,113125,manual,4wd,pickup,red
39,greenville / upstate,0,2014,kia,sorento 2wd 4dr i4 lx,good,105168,automatic,fwd,other,white
40,grand rapids,2100,2008,nissan,versa,good,200000,automatic,fwd,sedan,blue
41,south jersey,7999,2013,nissan,altima,good,132529,automatic,fwd,sedan,custom
42,south bend / michiana,5999,2007,kia,sportage,excellent,109938,automatic,fwd,SUV,grey
43,atlanta,12995,2011,chevrolet,express 1500,good,64000,automatic,fwd,van,blue
44,"kansas city, MO",22000,2004,jeep,wrangler rubicon 4x4,excellent,50900,automatic,4wd,SUV,red
45,grand rapids,30500,2016,ford,f150,excellent,59000,automatic,4wd,truck,white
46,dallas / fort worth,12500,2009,ford,f450 passenger mobility,excellent,166165,automatic,rwd,van,white
47,norfolk / hampton roads,16990,2013,bmw,3 series 328i coupe 2d,good,46678,automatic,rwd,coupe,grey
48,bozeman,6670,2013,chevrolet,spark,good,77932,automatic,fwd,hatchback,silver
49,baltimore,34990,2017,ram,1500 crew cab slt pickup 4d,good,27401,other,4wd,pickup,black
50,duluth / superior,1995,2005,hyundai,santa fe,good,169800,automatic,4wd,SUV,black
51,ft myers / SW florida,38990,2014,toyota,fj cruiser sport utility,good,42531,other,4wd,SUV,black
52,des moines,11450,2015,chrysler,town and country,good,71212,automatic,fwd,mini-van,grey
53,minneapolis / st paul,2495,2008,pontiac,g6,good,160576,automatic,fwd,sedan,grey
54,central NJ,23990,2014,bmw,5 series 528i sedan 4d,good,32136,automatic,rwd,sedan,white
55,cedar rapids,3995,2007,honda,odyssey,good,194000,automatic,fwd,van,red
56,columbus,5850,2007,honda,cr-v,excellent,184570,automatic,4wd,SUV,silver
57,rhode island,8995,2013,ford,flex sel awd,like new,139000,automatic,4wd,SUV,grey
58,missoula,22900,2016,ram,1500,excellent,68000,automatic,4wd,truck,black
59,sacramento,32000,2016,toyota,tacoma,excellent,61000,automatic,4wd,truck,white
60,knoxville,20500,2016,bmw,328i,like new,21700,automatic,rwd,sedan,black
61,bemidji,10990,2006,jeep,wrangler sport 4x4,good,158335,manual,4wd,SUV,blue
62,syracuse,4400,2008,subaru,impreza,good,176000,automatic,4wd,sedan,red
63,baltimore,4975,2009,chevrolet,equinox,excellent,124000,automatic,fwd,SUV,black
64,ft myers / SW florida,12199,2013,toyota,rav4 le awd,excellent,102412,automatic,4wd,SUV,grey
65,york,42990,2014,chevrolet,corvette stingray,good,20762,other,rwd,coupe,blue
66,"quad cities, IA/IL",4200,2004,ford,ranger,good,102000,automatic,rwd,pickup,black
67,youngstown,31990,2014,gmc,sierra 1500 double cab slt,good,84088,other,4wd,pickup,grey
68,augusta,18990,2011,ford,ranger super cab xlt pickup,good,55472,other,4wd,pickup,blue
